Title,Author_Id,Year,Citation_Count
A Multi-Modal Unscented Kalman Filter for Inference of Aircraft Position and Taxi Mode from Surface Surveillance Data,1485,2011,4
Impact of Heavy Aircraft Operations on Airport Capacity at Newark Liberty International Airport,1485,2011,5
Estimation of maximum-likelihood discrete-choice models of the runway configuration selection process,1485,2011,8
Estimation of Aircraft Taxi-out Fuel Burn using Flight Data Recorder Archives,1485,2011,13
Analysis of Airport Performance using Surface Surveillance Data: A Case Study of BOS,1485,2011,6
Dynamic reconfiguration of terminal airspace during convective weather,1485,2010,7
Impact of Arrivals on Departure Taxi Operations at Airports,1485,2010,6
"Asynchronous, Distributed Optimization for the Coordinated Planning of Air and Space Assets",1485,2010,4
Operational Planning for Multiple Heterogeneous Unmanned Aerial Vehicles in Three Dimensions,1485,2010,1
Optimization of Airport Taxiway Operations at Detroit Metropolitan Airport (DTW),1485,2010,8
Evaluation of Strategies for Reducing Taxi-out Emissions at Airports,1485,2010,10
A comparison of aircraft trajectory-based and aggregate queue-based control of airport taxi processes,1485,2010,9
Feedback control of the National Airspace System to mitigate weather disruptions,1485,2010,1
Distributed feedback control for an Eulerian model of the National Airspace System,1485,2009,11
Queuing Models of Airport Departure Processes for Emissions Reduction,1485,2009,45
Evaluation of Strategies for Reducing Taxi-Out Emissions at Airports,1485,2009,2
Estimation of arrival-departure capacity tradeoffs in multi-airport systems,1485,2009,10
"Fuel cost, delay and throughput tradeoffs in runway scheduling",1485,2008,1
A Study of Tradeoffs in Scheduling Terminal-Area Operations,1485,2008,27
Techniques for reallocating airport resources during adverse weather,1485,2007,13
A Dynamic Programming Algorithm for Robust Runway Scheduling,1485,2007,21
A Framework for Coordinated Surface Operations Planning at Dallas-Fort Worth International Airport,1485,2007,47
Scheduling Aircraft Landings Under Constrained Position Shifting,1485,2006,74
State estimation for hybrid systems: applications to aircraft tracking,1485,2006,59
How to Construct a Correct and Scalable iBGP Configuration,1485,2006,27
Peering Peer-to-Peer Providers,1485,2005,2
Polynomial approximation algorithms for belief matrix maintenance in identity management,1485,2004,14
A distributed multiple-target identity management algorithm in sensor networks,1485,2004,1
"Multiple-target tracking and identity management in clutter, with application to aircraft tracking",1485,2004,5
Inference Methods for Autonomous Stochastic Linear Hybrid Systems,1485,2004,8
Rate guarantees and overload protection in input-queued switches,1485,2004,2
The impact of design space constraints on the noise and emissions from derivative engines for civil supersonic aircraft,2030,2021,0
Evaluation of Aircraft Contrails using Dynamic Dispersion Model,2030,2013,0
Interdependencies in Air Quality and Noise Impacts for Landing and Takeoff Operations,2030,2008,0
Modelling Environmental and Economic Impacts of Aviation: Introducing the Aviation Integrated Modelling Project,2030,2007,17
Contact Mechanics of a Hard Cylinder on a Viscoelastic Layer,2030,2006,0
Nondimensional Analysis on the Mitigation of Hard Surface Roughness Induced Torque on Hard Cylinders by Introduction of a Soft Interfacial Layer for Precision Positioning Applications,2030,2006,0
A Remote Needle Guidance System for Percutaneous Biopsies,2030,2005,5
Revenue Management for Communication Satellite Operators - Opportunities and Challenges,2190,2020,0
Assessment of Silent Aircraft-Enabled Regional Development and Airline Economics in the UK,2190,2007,5
"GEOLOGIC MAP OF NEW HORIZONS&#39; ENCOUNTER HEMISPHERE OF CHARON, VI",2695,2018,0
COLD CLASSICAL KBO 2014 MU69: READY FOR ITS CLOSE-UP,2695,2016,0
PLUTO SYSTEM CRATERING HISTORY AND SURFACE AGES,2695,2016,0
WHAT HAVE WE LEARNED ABOUT CHARON FROM NEW HORIZONS?,2695,2016,0
SPECTRAL ANALYSIS OF PLUTO&#39;S WATER-ICE RICH SPOTS AT NEAR INFRARED WAVELENGTHS,2695,2016,0
SURFACE COMPOSITIONS OF PLUTO AND CHARON,2695,2016,0
Development of CCDs for REXIS on OSIRIS-REx,2695,2014,1
Modeling the expected performance of the REgolith X-ray Imaging Spectrometer (REXIS),2695,2014,1
The REgolith X-Ray Imaging Spectrometer (REXIS) for OSIRIS-REx: identifying regional elemental enrichment on asteroids,2695,2013,7
Near-Earth objects as principal impactors of the Earth: Physical properties and sources of origin,2695,2006,1
Asteroid-meteorite links: the Vesta conundrum(s),2695,2005,24
Properties of the Near-Earth object population: the ACM 2005 view,2695,2005,4
Divisions I &amp; III WG: on Near Earth Objects,2695,2005,0
Optimization of On-Orbit Robotic Assembly of Small Satellites,4030,2020,0
Incorporating adaptive optics controls history in post-processing of ground-based coronagraph models,4030,2020,0
Deep neural networks to improve the dynamic range of Zernike phase-contrast wavefront sensing in high-contrast imaging systems,4030,2020,0
Miniature Optical Steerable Antenna for Intersatellite Communications Liquid Lens Characterization,4030,2020,0
Compensation of Atmospheric Differential Color Refraction Bias in Ground-Based Optical Astrometric Observations of Satellites with Concurrent Spectroscopic Measurements,4030,2020,0
Optomechanical Design for CubeSat Laser Infrared Crosslinks,4030,2019,0
Tradespace Exploration of the Next Generation Communication Satellites,4030,2019,0
Heavy Ion radiation assessment of a 100G/200G commercial optical coherent DSP ASIC,4030,2019,1
Solar and Lunar Calibration for Miniaturized Microwave Radiometers,4030,2019,0
Optical modeling and testing of the Deformable Mirror Demonstration Mission (DeMi) CubeSat payload,4030,2019,0
Simulating the effects of exozodiacal dust in WFIRST CGI observations,4030,2019,0
Assessment of gamma and proton radiation effects on 100 Gbps commercial coherent optical transceiver,4030,2019,0
The CubeSat Laser Infrared CrosslinK Mission (CLICK),4030,2019,1
Initial Radiance Validation of On-orbit MicroMAS-2A Data,4030,2019,0
WFIRST coronagraph technology requirements: status update and systems engineering approach,4030,2018,8
Total Ionizing Dose Assessment of a Commercial 200V PMOSFET,4030,2018,0
Calibration and validation of small satellite passive microwave radiometers: MicroMAS-2A and TROPICS,4030,2018,4
Surveying the Epsilon Eridani system Using MagAO,4030,2018,0
The deformable mirror demonstration mission (DeMi) CubeSat: optomechanical design validation and laboratory calibration,4030,2018,1
Modeling coronagraphic extreme wavefront control systems for high contrast imaging in ground and space telescope missions,4030,2018,4
The Habitable Exoplanet Observatory (HabEx),4030,2018,0
Spectroscopic measurements of asteroids allow mitigation of differential color refraction effects on ground-based astrometry and orbit prediction accuracy,4030,2018,0
The WFIRST coronagraph instrument: a major step in the exploration of sun-like planetary systems via direct imaging,4030,2018,7
Simulating the WFIRST coronagraph integral field spectrograph,4030,2017,1
Probabilistic Methods for Nanosatellite Systems Engineering: A Lasercom Case Study,4030,2017,0
Proton radiation effects assessment of a commercial 12-megapixel CMOS imager,4030,2017,0
Single event effect and total ionizing dose assessment of commercial optical coherent DSP ASIC,4030,2017,3
Proton Radiation Effects on Hamamatsu InGaAs PIN Photodiodes,4030,2017,1
Fast-steering solutions for cubesat-scale optical communications,4030,2017,0
A portable optical ground station for low-earth orbit satellite communications,4030,2017,2
Design of the deformable mirror demonstration CubeSat (DeMi),4030,2017,2
The Habitable Exoplanet (HabEx) Imaging Mission: preliminary science drivers and technical requirements,4030,2016,52
Implementation and validation of a CubeSat laser transmitter,4030,2016,2
A General Solution for Update with Out-of-Sequence Measurements: The Augmented Fixed-Lag Smoother,4030,2016,1
End-to-end simulation of high-contrast imaging systems: methods and results for the PICTURE mission family,4030,2015,2
"Development of a pointing, acquisition, and tracking system for a CubeSat optical communication module",4030,2015,4
Compact optical transmitters for CubeSat free-space optical communications,4030,2015,2
Geostationary Communications Satellites as Sensors for the Space Weather Environment: Telemetry Event Identification Algorithms,4030,2015,0
The low-order wavefront sensor for the PICTURE-C mission,4030,2015,5
Exo-C: a probe-scale space observatory for direct imaging and spectroscopy of extrasolar planetary systems,4030,2015,6
Development of the Microwave Radiometer Technology Acceleration (MiRaTA) CubeSat for all-weather atmospheric sounding,4030,2015,4
Small Satellite Constellations for Data Driven Atmospheric Remote Sensing,4030,2015,0
Subsystem support feasibility for formation flight measuring Bi-directional Reflectance,4030,2015,1
Payload characterization for CubeSat demonstration of MEMS deformable mirrors,4030,2014,1
Exo-C: a probe-scale space mission to directly image and spectroscopically characterize exoplanetary systems using an internal coronagraph,4030,2014,6
CubeSat Deformable Mirror Demonstration Mission,4030,2014,0
Wavefront control in space with MEMS deformable mirrors,4030,2013,1
"A Dual-Spinning, Three-Axis-Stabilized CubeSat for Earth Observations",4030,2013,3
TID Tolerance of Popular CubeSat Components,4030,2013,11
Evaluation of Hyperspectral Snapshot Imagers onboard Nanosatellite Clusters for Multi-Angular Remote Sensing,4030,2013,5
Causal relationships between solar proton events and single event upsets for communication satellites,4030,2013,0
Ad hoc CubeSat constellations: Secondary launch coverage and distribution,4030,2013,16
A Simple and Robust Staged Control Architecture for Nanometric Optical Path-Length Control,4030,2013,0
"GEOScan: A global, real-time geoscience facility",4030,2013,6
Propagation of CubeSats in LEO using NORAD Two Line Element Sets: Accuracy and Update Frequency,4030,2013,4
Preparations for the MicroMAS CubeSat mission,4030,2013,0
Earth limb calibration of scanning spaceborne microwave radiometers,4030,2013,0
MEMS deformable mirror CubeSat testbed,4030,2013,0
CubeSat Deformable Mirror Demonstration mission (DeMi),4030,2013,0
Atmospheric Characterization of Cold Exoplanets Using a 1.5-m Space Coronagraph,4030,2012,0
CubeSat deformable mirror demonstration,4030,2012,2
Atmospheric characterization of cold exoplanets with a 1.5-m space coronagraph,4030,2012,0
GEOScan: a geoscience facility from space,4030,2012,2
Nanosatellites for earth environmental monitoring: The MicroMAS project,4030,2012,12
Direct imaging of exoEarths embedded in clumpy debris disks,4030,2012,5
Nanosatellites for earth environmental monitoring: The MicroMAS project,4030,2012,6
Combining laser frequency combs and iodine cell calibration techniques for Doppler detection of exoplanets,4030,2010,0
The pupil mapping exoplanet coronagraphic observer (PECO),4030,2010,7
Science performance of the Pupil-mapping Exoplanet Coronagraphic Observer (PECO),4030,2009,2
First results on a new PIAA coronagraph testbed at NASA Ames,4030,2009,5
Detecting and characterizing exoplanets with a 1.4-m space telescope: the Pupil mapping Exoplanet Coronagraphic Observer (PECO),4030,2009,5
"Extending Earth&#39;s Commercial Communications Infrastructure to Support Lunar Exploration with Continuous, Global, High Data Rate Lunar Coverage",4030,2008,0
In Perfect Shape: Certifiably Optimal 3D Shape Reconstruction From 2D Landmarks,16360,2020,2
"3D Dynamic Scene Graphs: Actionable Spatial Perception with Places, Objects, and Humans",16360,2020,1
LAMP: Large-Scale Autonomous Mapping and Positioning for Exploration of Perceptually-Degraded Subterranean Environments,16360,2020,2
Online Monitoring for Neural Network Based Monocular Pedestrian Pose Estimation,16360,2020,0
Kimera: an Open-Source Library for Real-Time Metric-Semantic Localization and Mapping,16360,2020,3
Shonan Rotation Averaging: Global Optimality by Surfing SO(p)n,16360,2020,1
A Quaternion-Based Certifiably Optimal Solution to the Wahba Problem With Outliers,16360,2019,3
"Outlier-Robust Spatial Perception: Hardness, General-Purpose Algorithms, and Guarantees",16360,2019,1
A Polynomial-time Solution for Robust Registration with Extreme Outlier Rates,16360,2019,7
Incremental Visual-Inertial 3D Mesh Generation with Structural Regularities,16360,2019,2
Robot Co-design: Beyond the Monotone Case,16360,2019,2
Navion: A Fully Integrated Energy-Efficient Visual-Inertial Odometry Accelerator for Autonomous Navigation of Nano Drones,16360,2018,9
Visual-Inertial Navigation Algorithm Development Using Photorealistic Camera Simulation in the Loop,16360,2018,9
Sensing-Constrained LQG Control,16360,2018,2
Multi Robot Object-Based SLAM,16360,2017,4
Supermodular mean squared error minimization for sensor scheduling in optimal Kalman Filtering,16360,2017,4
Attention and anticipation in fast visual-inertial navigation,16360,2017,14
"Duckietown: An open, inexpensive and flexible platform for autonomy education and research",16360,2017,33
Visual-Inertial Odometry on Chip: An Algorithm-and-Hardware Co-design Approach,16360,2017,13
Towards Planning in Generalized Belief Space,16360,2016,3
An Application of Laser-Based Autonomous Navigation for Data-Center Monitoring,16360,2016,2
Data-driven prediction of EVAR with confidence in time-varying datasets,16360,2016,1
Sparse sensing for resource-constrained depth reconstruction,16360,2016,11
Distributed trajectory estimation with privacy and communication constraints: A two-stage distributed Gauss-Seidel approach,16360,2016,6
Duality-based verification techniques for 2D SLAM,16360,2015,13
Rigid components identification and rigidity control in bearing-only localization using the graph cycle basis,16360,2015,10
Initialization techniques for 3D SLAM: A survey on rotation estimation and its use in pose graph optimization,16360,2015,42
Lagrangian duality in 3D SLAM: Verification techniques and optimal solutions,16360,2015,20
IMU Preintegration on Manifold for Efficient Visual-Inertial Maximum-a-Posteriori Estimation,16360,2015,103
Exactly sparse memory efficient SLAM using the multi-block alternating direction method of multipliers,16360,2015,1
Structural Symmetries from Motion for Scene Reconstruction and Understanding,16360,2015,1
Mining Structure Fragments for Smart Bundle Adjustment,16360,2014,6
Selecting good measurements via â 1 relaxation: A convex approach for robust estimation over graphs,16360,2014,13
Planning under uncertainty in the continuous domain: A generalized belief space approach,16360,2014,11
Eliminating conditionally independent sets in factor graphs: A unifying perspective based on smart factors,16360,2014,17
Constrained optimal selection for multi-sensor robot navigation using plug-and-play factor graphs,16360,2014,11
Graph-based robust localization and mapping for autonomous mobile robotic navigation,16360,2014,5
Uncertainty-constrained robot exploration: A mixed-integer linear programming approach,16360,2014,6
A convergence analysis for pose graph optimization via Gauss-Newton methods,16360,2013,22
"Graph Optimization with Unstructured Covariance: Fast, Accurate, Linear Approximation",16360,2012,3
Multi-agent localization from noisy relative pose measurements,16360,2011,15
A comparative study on active SLAM and autonomous exploration with Particle Filters,16360,2011,12
A Linear Approximation for Graph-based Simultaneous Localization and Mapping,16360,2011,19
A first-order solution to simultaneous localization and mapping with graphical models,16360,2011,7
Network localization from range measurements: Algorithms and numerical experiments,16360,2010,0
Cooperative robotic teams for supervision and management of large logistic spaces: Methodology and applications,16360,2010,1
A distributed Gauss-Newton approach for range-based localization of multi agent formations,16360,2010,15
A distributed gradient method for localization of formations using relative range measurements,16360,2010,17
Distributed optimization techniques for range localization in networked systems,16360,2010,6
An application of Kullback-Leibler divergence to active SLAM and exploration with Particle Filters,16360,2010,28
Position estimation from relative distance measurements in multi-agents formations,16360,2010,11
Rao-Blackwellized Particle Filters multi robot SLAM with unknown initial correspondences and limited communication,16360,2010,38
Shock dynamics in periodic two-dimensional composites,23990,2020,0
Hypervelocity impact of PrintCast A356/316L composites,23990,2019,0
Technology Roadmap for Future Lunar Human Landing Systems,3740,2020,0
Comparative Benchmarking of Crewed Lunar and Mars Mission Architectures,3740,2020,0
Object-Process Model-Based Operational Viewpoint Specification for Aerospace Architectures,3740,2020,0
Artificial Intelligence Algorithms for Power Allocation in High Throughput Satellites: A Comparison,3740,2020,2
Revenue Management for Communication Satellite Operators - Opportunities and Challenges,3740,2020,0
Allocating Power and Bandwidth in Multibeam Satellite Systems using Particle Swarm Optimization,3740,2020,2
Implementing the NEET Ways of Thinking at MIT,3740,2020,0
Deep Reinforcement Learning for Continuous Power Allocation in Flexible High Throughput Satellites,3740,2019,1
"Moving Forward with the New Engineering Education Transformation (NEET) program at MIT - Building Community, Developing Projects, and Connecting with Industry",3740,2019,0
A Genetic Algorithm for Joint Power and Bandwidth Allocation in Multibeam Satellite Systems,3740,2019,4
Problem representation of dynamic resource allocation for flexible high throughput satellities,3740,2019,3
Tradespace Exploration of the Next Generation Communication Satellites,3740,2019,0
Ground segment architectures for large LEO constellations with feeder links in EHF-bands,3740,2018,3
System architecture for tracking passengers inside an airport terminal using RFID,3740,2018,1
Architectural options and optimization of suborbital space tourism vehicles,3740,2018,2
Redesigning Undergraduate Engineering Education at MIT â the New Engineering Education Transformation (NEET) initiative,3740,2018,1
Performance characterization of a multiplexed space-to-ground optical network,3740,2017,1
Optimal location of optical ground stations to serve LEO spacecraft,3740,2017,5
Uncertainty quantification of network availability for networks of optical ground stations,3740,2017,2
Assessing the impact of real-time communication services on the space network ground segment,3740,2016,1
Architecting the ground segment of an optical space communication network,3740,2016,6
Architecting space communication networks under mission demand uncertainty,3740,2015,3
Exploring the Trade-offs of Aggregated versus Disaggregated Architectures for Environmental Monitoring in Low-Earth Orbit,3740,2014,3
The Cost of Jointness and How to Manage It,3740,2014,0
In-space transportation infrastructure architecture decisions using a weighted graph approach,3740,2014,1
Results of the MIT Space Communication and Navigation architecture study,3740,2014,6
Exploring the architectural trade space of NASAs Space Communication and Navigation Program,3740,2013,5
The impact of technical complexity on the decision to collaborate and combine,3740,2013,8
VASSAR: Value assessment of system architectures using rules,3740,2013,13
Costing commonality: Investigating the impact of platform divergence,3740,2012,3
A rule-based decision support tool for architecting Earth observing missions,3740,2012,1
Incentivizing commonality: An evaluation of the benefit and cost impact of platforming strategies,3740,2011,1
North American Aerospace Project-Adaptable Design/Build Projects for Aerospace Education,3740,2011,3
Exploring packaging architectures for the Earth Science Decadal Survey,3740,2011,2
The human exploration of space: Review of U.S. Human Spaceflight Plans Committee,3740,2010,0
Integrated assessment of packaging architectures in Earth observing programs,3740,2010,15
Cdio In Aerospace Engineering: The North America Aerospace Project Progress Report,3740,2010,0
Realizing Commonality in Exploration Architectures: the Role of Effective Contract Structures,3740,2010,0
North American Aerospace Project: CDIO in Aerospace Engineering Education,3740,2010,1
"The Education of Future Aeronautical Engineers: Conceiving, Designing, Implementing and Operating",3740,2010,2
"Workshop: Designing, Conducting, and Assessing Project-Based Learning Experiences in Engineering Education",3740,2010,0
A Comprehensive Analysis of Lunar Surface System Architectures,3740,2009,0
Architectures for an Integrated Human Space Exploration Program,3740,2009,0
A Comparison of Fault-Tolerant GN&amp;C System Architectures Using the Objects Process Network (OPN) Modeling Language,3740,2009,1
A Minimalist Approach to Crewed Lunar Exploration,3740,2009,0
Framework for Modeling and Evaluating Earth Observation Campaigns,3740,2008,2
Analysis of Launch and Earth Departure Architectures for Near-Term Human Mars Missions,3740,2008,0
Stakeholder Value Network Model for Earth Observation Campaigns,3740,2008,2
Use of Small Logistics Containers for Crewed Lunar Exploration Campaigns,3740,2008,0
Analysis of Architectures for Long-Range Crewed Moon and Mars Surface Mobility,3740,2008,0
Analysis of Human Lunar Outpost Strategies and Architectures,3740,2007,3
The Intermediate Outpost - An Alternate Concept for Human Lunar Exploration,3740,2007,0
A Flexible and Minimalist Design Concept for NASA&#39;s Lunar Surface Access Module,3740,2007,0
Design of a Platform-Based Surface Mobility System for Human Space Exploration,3740,2007,2
Architecting Value: The Implications of Benefit Network Models for NASA Exploration,3740,2007,0
A Valuation Technology for Product Development Options Using an Executable Meta-modeling Language,3740,2007,3
A Comparison of GN&amp;C Architectural Approaches for Robotic and Human-Rated Spacecraft,3740,2007,6
Algebra of Systems: An Executable Framework for Model Synthesis and Evaluation,3740,2007,10
Decision-making for systems architecting using meta-languages,3740,2007,3
Parallel and sequential development of complex platform-based product families,3740,2007,0
Extending NASA&#39;s Exploration Systems Architecture Towards Long-Term Crewed Moon and Mars Operations,3740,2006,1
Paradigm Shift in Design for NASA&#39;s Space Exploration Initiative: Results from MIT&#39;s Spring 2004 Study,3740,2005,3
Crew Exploration Vehicle Destination for Human Lunar Exploration: The Lunar Surface,3740,2005,0
Affordable Human Moon and Mars Exploration Through Hardware Commonality,3740,2005,8
Architecture Generation for Moon-Mars Exploration Using an Executable Meta-Language,3740,2005,15
Program Evaluation Aligned With The Cdio Standards,3740,2005,0
Using Stakeholder Value Analysis to Build Exploration Sustainability,3740,2005,9
"Comparisons of HPCMP CREATE TM -AV Kestrel-COFFE, SU2, and MIT SANS RANS Solutions using Output-Based Adapted Meshes for a Multi-Element Airfoil",3945,2021,0
Output-Based Adaptive RANS Solutions using Higher-Order FEM on a Multi-Element Airfoil,3945,2020,0
An Integral Boundary Layer Method using Discontinuous Galerkin Discretization and Captured Transition Modeling,3945,2020,0
Correction: A Variational Multiscale Method with Discontinuous Subscales for Output-Based Adaptation of Aerodynamic Flows,3945,2020,2
Mesh Optimization via Error Sampling and Synthesis: An Update,3945,2020,2
A Variational Multiscale Method with Discontinuous Subscales for Output-Based Adaptation of Aerodynamic Flows,3945,2020,3
A Strongly-coupled Non-parametric Integral Boundary Layer Method for Aerodynamic Analysis with Free Transition,3945,2019,2
Screened Expanding Turning Vane Concept,3945,2019,0
Entropy Behavior for Underresolved Discontinuous Galerkin Discretization of the Navier-Stokes Equations,3945,2019,0
Extension of local cavity operators to 3d+t space-time mesh adaptation,3945,2019,3
Hybrid Shell Model for Aeroelastic Modeling,3945,2019,2
Well-posed Subsonic Inflow/Outflow Boundary Conditions for the Navier-Stokes Equations,3945,2018,1
SANS RANS solutions for 3D benchmark configurations,3945,2018,10
On the Convergence of Higher-Order Finite Element Methods to Weak Solutions,3945,2017,1
A Non-parametric Discontinuous Galerkin Formulation of the Integral Boundary Layer Equations with Strong Viscous/Inviscid Coupling,3945,2017,5
An Adaptive Simplex Cut-Cell Method for High-Order Discontinuous Galerkin Discretizations of Conjugate Heat Transfer Problems,3945,2015,0
Application of a Higher-order Adaptive Method to RANS Test Cases (Invited),3945,2015,3
A Massive Open Online Course in Aerodynamics,3945,2015,1
A Verification Driven Process for Rapid Development of CFD Software,3945,2015,13
ANISOTROPIC SIMPLEX MESH ADAPTATION BY METRIC OPTIMIZATION FOR HIGHER-ORDER DG DISCRETIZATIONS OF 3D COMPRESSIBLE FLOWS,3945,2014,0
An adaptive simplex cut-cell method for high-order discontinuous Galerkin discretizations of multi-material and multi-physics problems,3945,2013,2
Progress Towards a Higher-order Adaptive Solver for Aerodynamics,3945,2013,0
Anisotropic Output-Based Mesh Optimization for Unsteady Flows,3945,2013,1
A robust simplex cut-cell method for high-order discontinuous Galerkin discretizations of three-dimensional aerodynamic problems,3945,2013,3
BDDC for Higher-Order Discontinuous Galerkin Discretizations,3945,2013,0
An Optimization Framework for Anisotropic Simplex Mesh Adaptation: Application to Aerodynamic Flows,3945,2012,12
The Importance of Mesh Adaptation for Higher-Order Discretizations of Aerodynamic Flows,3945,2011,19
Sensitivity Analysis of Limit Cycle Oscillations,3945,2011,0
A Comparison of Higher-Order Methods on a Set of Canonical Aerodynamics Applications,3945,2011,8
"Toward a Robust, Higher-Order Cut-Cell Method for Viscous Flows",3945,2010,4
On the Impact of Triangle Shapes for Boundary Layer Problems Using High-Order Finite Element Discretization,3945,2010,4
Massively Parallel Solver for the High-Order Galerkin Least-Squares Method,3945,2009,5
Effect of Small-Scale Unsteadiness on Adjoint-Based Output Sensitivity,3945,2009,3
Output Error Estimation and Adaptation in Computational Fluid Dynamics: Overview and Recent Results,3945,2009,7
Impact of Turbulence Model Irregularity on High-Order Discretizations,3945,2009,14
Parallel Anisotropic Tetrahedral Adaptation,3945,2008,23
An Output-Based Adaptive and Higher-Order Method for a Rotor in Hover,3945,2008,6
Output-Adaptive Tetrahedral Cut-Cell Validation for Sonic Boom Prediction,3945,2008,5
Discontinuous Galerkin Solutions of the Navier-Stokes Equations Using Linear Multigrid Preconditioning,3945,2007,3
An Unsteady Adaptation Algorithm for Discontinuous Galerkin Discretizations of the RANS Equations,3945,2007,16
"Shock Capturing with Higher-Order, PDE-Based Artificial Viscosity",3945,2007,39
Petaflops Opportunities for the NASA Fundamental Aeronautics Program (Invited),3945,2007,7
Toleranced Designs of Cooled Turbine Blades Through Probabilistic Thermal Analysis of Manufacturing Variability,3945,2007,2
An Adaptive Simplex Cut-Cell Method for Discontinuous Galerkin Discretizations of the Navier-Stokes Equations,3945,2007,32
Multigrid Solution for High-Order Discontinuous Galerkin Discretizations of the Compressible Navier-Stokes Equations,3945,2006,1
Towards the Next Generation in CFD,3945,2005,5
On the Aerodynamic Design of Compressor Airfoils for Robustness Under Geometric Uncertainty,3945,2004,5
The Impact of Blade-to-Blade Flow Variability on Turbine Blade Cooling Performance,3945,2004,0
Development of a Higher-Order Solver for Aerodynamic Applications,3945,2004,13
Adaptive Precision Methodology for Flow Optimization via Discretization and Iteration Error Control,3945,2004,4
A Selective Assembly Method to Reduce the Impact of Blade Flow Variability on Turbine Life,3945,2004,2
Performance-Based Geometric Tolerancing of Compressor Blades,3945,2004,8
Design and Testing of AUV Docking Modules for a Renewably Powered Offshore AUV Servicing Platform,3910,2020,0
A Multiobjective Systems Architecture Model for Sensor Selection in Autonomous Vehicle Navigation,3910,2020,0
Tradespace Exploration of Space Settlement Architectures Using Long-term Cost and Benefit Metrics,3910,2020,0
Addressing Deep Uncertainty in Space System Development through Model-based Adaptive Design,3910,2020,0
Autonomously Deployable Tower Infrastructure for Exploration and Communication in Lunar Permanently Shadowed Regions,3910,2020,0
An MBSE Approach Supporting Technical Inheritance and Design Reuse Decisions,3910,2020,0
Optimization of On-Orbit Robotic Assembly of Small Satellites,3910,2020,0
Deployment Strategies for Reconfigurable Satellite Constellations,3910,2020,0
Mobile Target Tracking Using a Reconfigurable Low Earth Orbit Constellation,3910,2020,0
Simultaneous Vehicle and Trajectory Design using Convex Optimization,3910,2020,0
Benefits of In-Space Manufacturing Technology Development for Human Spaceflight,3910,2020,0
Convolutional Neural Network for Detection of Residential Photovoltalc Systems in Satellite Imagery,3910,2020,0
Error and Uncertainty in Earth Observation Value Chains,3910,2020,0
Correction: Mobile Target Tracking Using a Reconfigurable Low Earth Orbit Constellation,3910,2020,0
Remote Sensing for Assessing Natural Capital in Inclusive Wealth of Nations: Current Capabilities and Gaps,3910,2019,0
Urban Roads Network Detection from High Resolution Remote Sensing,3910,2019,0
Human-Machine Interactions in Apollo and Lessons Learned for Living Off the Land on Mars,3910,2019,0
LEGO Product Design and Manufacturing Simulations for Engineering Design and Systems Engineering Education,3910,2019,0
Designing Future Space Systems,3910,2018,0
Multiobjective Optimization for Structural Design of Lunar Habitats,3910,2018,0
A concurrent design approach for model-based technology roadmapping,3910,2018,1
Correlating Integrative Complexity With System Modularity,3910,2017,1
Tradespace analysis tool for designing constellations (TAT-C),3910,2017,11
"Supportability Challenges, Metrics, and Key Decisions for Future Human Spaceflight",3910,2017,2
