,Id,Name,PersonId,Department,RankName,TotalArticleCount,TotalConfProcCount,TotalGrantCount,TotalGrantDollars,TotalAwardCount,TotalCitationCount,TotalBookCount,TotalPatentCount,Gender,Accuracy_Gender,Total_Samples_Gender,Matched,LastName,FirstName,Collaborations,Department_MITCollab
11,2030,"BARRETT, STEVEN R. H",412239,Aeronautics and Astronautics,Associate,87,7,11,0,1,2381,1,1,male,99,59951,1,,,1485|,Physics
12,2190,"BELOBABA, PETER P",287096,Aeronautics and Astronautics,Other,24,2,0,0,1,303,20,0,male,99,146529,1,,,2035|3740|2020|,Aeronautics and Astronautics
13,2190,"BELOBABA, PETER P",287096,Aeronautics and Astronautics,Other,24,2,0,0,1,303,20,0,male,99,146529,1,,,2190|,Electrical Engineering and Computer Sciences
14,2190,"BELOBABA, PETER P",287096,Aeronautics and Astronautics,Other,24,2,0,0,1,303,20,0,male,99,146529,1,,,2190|,Health Sciences and Technology
15,2190,"BELOBABA, PETER P",287096,Aeronautics and Astronautics,Other,24,2,0,0,1,303,20,0,male,99,146529,1,,,2190|,Management
16,2190,"BELOBABA, PETER P",287096,Aeronautics and Astronautics,Other,24,2,0,0,1,303,20,0,male,99,146529,1,,,2190|,Mechanical Engineering
17,2190,"BELOBABA, PETER P",287096,Aeronautics and Astronautics,Other,24,2,0,0,1,303,20,0,male,99,146529,1,,,2190|,Physics
18,2695,"BINZEL, RICHARD P",10148,Aeronautics and Astronautics,Professor,163,13,23,0,3,5523,5,0,male,99,97659,1,,,2680|2660|2670|3910|2680|,Aeronautics and Astronautics
19,2695,"BINZEL, RICHARD P",10148,Aeronautics and Astronautics,Professor,163,13,23,0,3,5523,5,0,male,99,97659,1,,,2655|2650|2685|2655|2690|2650|,"Earth, Atmospheric and Planetary Sciences"
20,2695,"BINZEL, RICHARD P",10148,Aeronautics and Astronautics,Professor,163,13,23,0,3,5523,5,0,male,99,97659,1,,,2695|,Electrical Engineering and Computer Sciences
21,2695,"BINZEL, RICHARD P",10148,Aeronautics and Astronautics,Professor,163,13,23,0,3,5523,5,0,male,99,97659,1,,,2695|,Health Sciences and Technology
22,2695,"BINZEL, RICHARD P",10148,Aeronautics and Astronautics,Professor,163,13,23,0,3,5523,5,0,male,99,97659,1,,,2695|,Management
23,2695,"BINZEL, RICHARD P",10148,Aeronautics and Astronautics,Professor,163,13,23,0,3,5523,5,0,male,99,97659,1,,,2695|,Mechanical Engineering
24,2695,"BINZEL, RICHARD P",10148,Aeronautics and Astronautics,Professor,163,13,23,0,3,5523,5,0,male,99,97659,1,,,2695|,Physics
25,4030,"CAHOY, KERRI",488061,Aeronautics and Astronautics,Associate,47,72,45,0,2,777,1,8,female,98,1836,1,,,2670|3910|7055|3740|1485|4035|2670|4375|2885|2680|4035|,Aeronautics and Astronautics
26,4030,"CAHOY, KERRI",488061,Aeronautics and Astronautics,Associate,47,72,45,0,2,777,1,8,female,98,1836,1,,,7055|2655|,"Earth, Atmospheric and Planetary Sciences"
27,4030,"CAHOY, KERRI",488061,Aeronautics and Astronautics,Associate,47,72,45,0,2,777,1,8,female,98,1836,1,,,4030|,Electrical Engineering and Computer Sciences
28,4030,"CAHOY, KERRI",488061,Aeronautics and Astronautics,Associate,47,72,45,0,2,777,1,8,female,98,1836,1,,,4030|,Health Sciences and Technology
29,4030,"CAHOY, KERRI",488061,Aeronautics and Astronautics,Associate,47,72,45,0,2,777,1,8,female,98,1836,1,,,4030|,Management
30,4030,"CAHOY, KERRI",488061,Aeronautics and Astronautics,Associate,47,72,45,0,2,777,1,8,female,98,1836,1,,,4030|,Mechanical Engineering
31,4030,"CAHOY, KERRI",488061,Aeronautics and Astronautics,Associate,47,72,45,0,2,777,1,8,female,98,1836,1,,,4030|,Physics
32,16360,"CARLONE, LUCA",827382,Aeronautics and Astronautics,Assistant,29,52,7,0,2,1742,2,0,male,99,87738,0,,,4785|2910|2320|2880|4785|2910|,Aeronautics and Astronautics
33,16360,"CARLONE, LUCA",827382,Aeronautics and Astronautics,Assistant,29,52,7,0,2,1742,2,0,male,99,87738,0,,,16360|,Electrical Engineering and Computer Sciences
34,16360,"CARLONE, LUCA",827382,Aeronautics and Astronautics,Assistant,29,52,7,0,2,1742,2,0,male,99,87738,0,,,4785|2910|4785|2910|,Engineering System Divisions
35,16360,"CARLONE, LUCA",827382,Aeronautics and Astronautics,Assistant,29,52,7,0,2,1742,2,0,male,99,87738,0,,,16360|,Health Sciences and Technology
36,16360,"CARLONE, LUCA",827382,Aeronautics and Astronautics,Assistant,29,52,7,0,2,1742,2,0,male,99,87738,0,,,16360|,Management
37,16360,"CARLONE, LUCA",827382,Aeronautics and Astronautics,Assistant,29,52,7,0,2,1742,2,0,male,99,87738,0,,,16360|,Mechanical Engineering
38,16360,"CARLONE, LUCA",827382,Aeronautics and Astronautics,Assistant,29,52,7,0,2,1742,2,0,male,99,87738,0,,,16360|,Physics
39,23990,"CORDERO, ZACHARY C",801111,Aeronautics and Astronautics,Assistant,21,2,3,0,1,295,0,0,male,100,7365,1,,,23990|,Aeronautics and Astronautics
40,23990,"CORDERO, ZACHARY C",801111,Aeronautics and Astronautics,Assistant,21,2,3,0,1,295,0,0,male,100,7365,1,,,23990|,Electrical Engineering and Computer Sciences
41,23990,"CORDERO, ZACHARY C",801111,Aeronautics and Astronautics,Assistant,21,2,3,0,1,295,0,0,male,100,7365,1,,,23990|,Health Sciences and Technology
42,23990,"CORDERO, ZACHARY C",801111,Aeronautics and Astronautics,Assistant,21,2,3,0,1,295,0,0,male,100,7365,1,,,23990|,Management
43,23990,"CORDERO, ZACHARY C",801111,Aeronautics and Astronautics,Assistant,21,2,3,0,1,295,0,0,male,100,7365,1,,,23990|,Mechanical Engineering
44,23990,"CORDERO, ZACHARY C",801111,Aeronautics and Astronautics,Assistant,21,2,3,0,1,295,0,0,male,100,7365,1,,,23990|,Physics
45,3740,"CRAWLEY, EDWARD F",22177,Aeronautics and Astronautics,Professor,47,67,30,0,7,427,8,1,male,99,24073,1,,,3910|2660|4030|2190|2670|2660|3945|3910|,Aeronautics and Astronautics
46,3740,"CRAWLEY, EDWARD F",22177,Aeronautics and Astronautics,Professor,47,67,30,0,7,427,8,1,male,99,24073,1,,,3740|,Electrical Engineering and Computer Sciences
47,3740,"CRAWLEY, EDWARD F",22177,Aeronautics and Astronautics,Professor,47,67,30,0,7,427,8,1,male,99,24073,1,,,3740|,Health Sciences and Technology
48,3740,"CRAWLEY, EDWARD F",22177,Aeronautics and Astronautics,Professor,47,67,30,0,7,427,8,1,male,99,24073,1,,,3740|,Management
49,3740,"CRAWLEY, EDWARD F",22177,Aeronautics and Astronautics,Professor,47,67,30,0,7,427,8,1,male,99,24073,1,,,3740|,Mechanical Engineering
50,3740,"CRAWLEY, EDWARD F",22177,Aeronautics and Astronautics,Professor,47,67,30,0,7,427,8,1,male,99,24073,1,,,3740|,Physics
51,3945,"DARMOFAL, DAVID L",138846,Aeronautics and Astronautics,Professor,33,52,12,0,1,1359,1,1,male,99,380894,1,,,4410|4385|4365|5285|2035|4370|4385|4365|3740|,Aeronautics and Astronautics
52,3945,"DARMOFAL, DAVID L",138846,Aeronautics and Astronautics,Professor,33,52,12,0,1,1359,1,1,male,99,380894,1,,,3945|,Electrical Engineering and Computer Sciences
53,3945,"DARMOFAL, DAVID L",138846,Aeronautics and Astronautics,Professor,33,52,12,0,1,1359,1,1,male,99,380894,1,,,3945|,Health Sciences and Technology
54,3945,"DARMOFAL, DAVID L",138846,Aeronautics and Astronautics,Professor,33,52,12,0,1,1359,1,1,male,99,380894,1,,,3945|,Management
55,3945,"DARMOFAL, DAVID L",138846,Aeronautics and Astronautics,Professor,33,52,12,0,1,1359,1,1,male,99,380894,1,,,3945|,Mechanical Engineering
56,3945,"DARMOFAL, DAVID L",138846,Aeronautics and Astronautics,Professor,33,52,12,0,1,1359,1,1,male,99,380894,1,,,3945|,Physics
57,3910,"DE WECK, OLIVIER L",25387,Aeronautics and Astronautics,Professor,105,155,26,0,4,3324,6,1,male,96,55388,0,,,2660|3740|2670|4030|5390|2695|4035|2680|4815|2660|2670|3740|5390|,Aeronautics and Astronautics
58,3910,"DE WECK, OLIVIER L",25387,Aeronautics and Astronautics,Professor,105,155,26,0,4,3324,6,1,male,96,55388,0,,,3910|,Electrical Engineering and Computer Sciences
59,3910,"DE WECK, OLIVIER L",25387,Aeronautics and Astronautics,Professor,105,155,26,0,4,3324,6,1,male,96,55388,0,,,3910|,Health Sciences and Technology
60,3910,"DE WECK, OLIVIER L",25387,Aeronautics and Astronautics,Professor,105,155,26,0,4,3324,6,1,male,96,55388,0,,,3910|,Management
61,3910,"DE WECK, OLIVIER L",25387,Aeronautics and Astronautics,Professor,105,155,26,0,4,3324,6,1,male,96,55388,0,,,3910|,Mechanical Engineering
62,3910,"DE WECK, OLIVIER L",25387,Aeronautics and Astronautics,Professor,105,155,26,0,4,3324,6,1,male,96,55388,0,,,3910|,Physics
63,4410,"DRELA, MARK",29363,Aeronautics and Astronautics,Professor,18,34,4,0,5,678,1,0,male,100,48064,1,,,4365|3945|4370|5125|4375|4380|2020|4385|4365|4385|4380|4370|,Aeronautics and Astronautics
64,4410,"DRELA, MARK",29363,Aeronautics and Astronautics,Professor,18,34,4,0,5,678,1,0,male,100,48064,1,,,4410|,Electrical Engineering and Computer Sciences
65,4410,"DRELA, MARK",29363,Aeronautics and Astronautics,Professor,18,34,4,0,5,678,1,0,male,100,48064,1,,,4410|,Health Sciences and Technology
66,4410,"DRELA, MARK",29363,Aeronautics and Astronautics,Professor,18,34,4,0,5,678,1,0,male,100,48064,1,,,4410|,Management
67,4410,"DRELA, MARK",29363,Aeronautics and Astronautics,Professor,18,34,4,0,5,678,1,0,male,100,48064,1,,,4410|,Mechanical Engineering
68,4410,"DRELA, MARK",29363,Aeronautics and Astronautics,Professor,18,34,4,0,5,678,1,0,male,100,48064,1,,,4410|,Physics
69,24160,"FAN, CHUCHU",1108336,Aeronautics and Astronautics,Assistant,6,19,1,0,0,132,0,0,male,54,219,1,,,24160|,Aeronautics and Astronautics
70,24160,"FAN, CHUCHU",1108336,Aeronautics and Astronautics,Assistant,6,19,1,0,0,132,0,0,male,54,219,1,,,24160|,Electrical Engineering and Computer Sciences
71,24160,"FAN, CHUCHU",1108336,Aeronautics and Astronautics,Assistant,6,19,1,0,0,132,0,0,male,54,219,1,,,24160|,Health Sciences and Technology
72,24160,"FAN, CHUCHU",1108336,Aeronautics and Astronautics,Assistant,6,19,1,0,0,132,0,0,male,54,219,1,,,24160|,Management
73,24160,"FAN, CHUCHU",1108336,Aeronautics and Astronautics,Assistant,6,19,1,0,0,132,0,0,male,54,219,1,,,24160|,Mechanical Engineering
74,24160,"FAN, CHUCHU",1108336,Aeronautics and Astronautics,Assistant,6,19,1,0,0,132,0,0,male,54,219,1,,,24160|,Physics
75,4370,"GREITZER, EDWARD M",41860,Aeronautics and Astronautics,Professor,15,14,32,0,12,634,4,0,male,99,24073,1,,,1290|4410|4380|2035|1290|3945|4380|4410|,Aeronautics and Astronautics
76,4370,"GREITZER, EDWARD M",41860,Aeronautics and Astronautics,Professor,15,14,32,0,12,634,4,0,male,99,24073,1,,,4370|,Electrical Engineering and Computer Sciences
77,4370,"GREITZER, EDWARD M",41860,Aeronautics and Astronautics,Professor,15,14,32,0,12,634,4,0,male,99,24073,1,,,4370|,Health Sciences and Technology
78,4370,"GREITZER, EDWARD M",41860,Aeronautics and Astronautics,Professor,15,14,32,0,12,634,4,0,male,99,24073,1,,,4370|,Management
79,4370,"GREITZER, EDWARD M",41860,Aeronautics and Astronautics,Professor,15,14,32,0,12,634,4,0,male,99,24073,1,,,4370|,Mechanical Engineering
80,4370,"GREITZER, EDWARD M",41860,Aeronautics and Astronautics,Professor,15,14,32,0,12,634,4,0,male,99,24073,1,,,4370|,Physics
81,16865,"GUERRA GARCIA, CARMEN",827383,Aeronautics and Astronautics,Assistant,14,1,0,0,1,98,3,2,female,97,54197,1,,,5125|4375|4365|4365|5125|,Aeronautics and Astronautics
82,16865,"GUERRA GARCIA, CARMEN",827383,Aeronautics and Astronautics,Assistant,14,1,0,0,1,98,3,2,female,97,54197,1,,,16865|,Electrical Engineering and Computer Sciences
83,16865,"GUERRA GARCIA, CARMEN",827383,Aeronautics and Astronautics,Assistant,14,1,0,0,1,98,3,2,female,97,54197,1,,,16865|,Health Sciences and Technology
84,16865,"GUERRA GARCIA, CARMEN",827383,Aeronautics and Astronautics,Assistant,14,1,0,0,1,98,3,2,female,97,54197,1,,,16865|,Management
85,16865,"GUERRA GARCIA, CARMEN",827383,Aeronautics and Astronautics,Assistant,14,1,0,0,1,98,3,2,female,97,54197,1,,,16865|,Mechanical Engineering
86,16865,"GUERRA GARCIA, CARMEN",827383,Aeronautics and Astronautics,Assistant,14,1,0,0,1,98,3,2,female,97,54197,1,,,16865|,Physics
87,4385,"HAIMES, ROBERT",287897,Aeronautics and Astronautics,Other,15,43,33,0,0,492,0,0,male,99,145540,1,,,3945|4410|4365|3945|4410|,Aeronautics and Astronautics
88,4385,"HAIMES, ROBERT",287897,Aeronautics and Astronautics,Other,15,43,33,0,0,492,0,0,male,99,145540,1,,,4385|,Electrical Engineering and Computer Sciences
89,4385,"HAIMES, ROBERT",287897,Aeronautics and Astronautics,Other,15,43,33,0,0,492,0,0,male,99,145540,1,,,4385|,Health Sciences and Technology
90,4385,"HAIMES, ROBERT",287897,Aeronautics and Astronautics,Other,15,43,33,0,0,492,0,0,male,99,145540,1,,,4385|,Management
91,4385,"HAIMES, ROBERT",287897,Aeronautics and Astronautics,Other,15,43,33,0,0,492,0,0,male,99,145540,1,,,4385|,Mechanical Engineering
92,4385,"HAIMES, ROBERT",287897,Aeronautics and Astronautics,Other,15,43,33,0,0,492,0,0,male,99,145540,1,,,4385|,Physics
93,2020,"HANSMAN, ROBERT J",79405,Aeronautics and Astronautics,Professor,24,71,60,0,4,574,0,4,male,99,145540,1,,,1485|4410|5860|2190|1485|2035|,Aeronautics and Astronautics
94,2020,"HANSMAN, ROBERT J",79405,Aeronautics and Astronautics,Professor,24,71,60,0,4,574,0,4,male,99,145540,1,,,1485|1485|,Electrical Engineering and Computer Sciences
95,2020,"HANSMAN, ROBERT J",79405,Aeronautics and Astronautics,Professor,24,71,60,0,4,574,0,4,male,99,145540,1,,,1485|1485|,Health Sciences and Technology
96,2020,"HANSMAN, ROBERT J",79405,Aeronautics and Astronautics,Professor,24,71,60,0,4,574,0,4,male,99,145540,1,,,1485|1485|,Management
97,2020,"HANSMAN, ROBERT J",79405,Aeronautics and Astronautics,Professor,24,71,60,0,4,574,0,4,male,99,145540,1,,,1485|1485|,Mechanical Engineering
98,2020,"HANSMAN, ROBERT J",79405,Aeronautics and Astronautics,Professor,24,71,60,0,4,574,0,4,male,99,145540,1,,,1485|1485|,Physics
99,5310,"HARRIS, WESLEY L",45488,Aeronautics and Astronautics,Professor,1,1,6,0,3,6,0,0,male,99,13241,1,,,5310|,Aeronautics and Astronautics
100,5310,"HARRIS, WESLEY L",45488,Aeronautics and Astronautics,Professor,1,1,6,0,3,6,0,0,male,99,13241,1,,,5310|,Electrical Engineering and Computer Sciences
101,5310,"HARRIS, WESLEY L",45488,Aeronautics and Astronautics,Professor,1,1,6,0,3,6,0,0,male,99,13241,1,,,5310|,Health Sciences and Technology
102,5310,"HARRIS, WESLEY L",45488,Aeronautics and Astronautics,Professor,1,1,6,0,3,6,0,0,male,99,13241,1,,,5310|,Management
103,5310,"HARRIS, WESLEY L",45488,Aeronautics and Astronautics,Professor,1,1,6,0,3,6,0,0,male,99,13241,1,,,5310|,Mechanical Engineering
104,5310,"HARRIS, WESLEY L",45488,Aeronautics and Astronautics,Professor,1,1,6,0,3,6,0,0,male,99,13241,1,,,5310|,Physics
105,5390,"HASTINGS, DANIEL E",45995,Aeronautics and Astronautics,Professor,35,34,34,0,5,1026,1,0,male,99,257742,1,,,4815|3910|2670|2680|2670|4365|3910|,Aeronautics and Astronautics
106,5390,"HASTINGS, DANIEL E",45995,Aeronautics and Astronautics,Professor,35,34,34,0,5,1026,1,0,male,99,257742,1,,,4815|2670|2670|,Electrical Engineering and Computer Sciences
107,5390,"HASTINGS, DANIEL E",45995,Aeronautics and Astronautics,Professor,35,34,34,0,5,1026,1,0,male,99,257742,1,,,4040|3760|4040|,Engineering System Divisions
108,5390,"HASTINGS, DANIEL E",45995,Aeronautics and Astronautics,Professor,35,34,34,0,5,1026,1,0,male,99,257742,1,,,4815|2670|2670|,Health Sciences and Technology
109,5390,"HASTINGS, DANIEL E",45995,Aeronautics and Astronautics,Professor,35,34,34,0,5,1026,1,0,male,99,257742,1,,,4815|2670|2670|,Management
110,5390,"HASTINGS, DANIEL E",45995,Aeronautics and Astronautics,Professor,35,34,34,0,5,1026,1,0,male,99,257742,1,,,4815|2670|2670|,Mechanical Engineering
111,5390,"HASTINGS, DANIEL E",45995,Aeronautics and Astronautics,Professor,35,34,34,0,5,1026,1,0,male,99,257742,1,,,4815|2670|2670|,Physics
112,2660,"HOFFMAN, JEFFREY A",56423,Aeronautics and Astronautics,Other,52,67,32,0,2,2984,0,0,male,100,19324,1,,,4815|3910|3740|2695|7055|2670|2880|5860|5865|3740|3910|2670|4815|2320|4035|,Aeronautics and Astronautics
113,2660,"HOFFMAN, JEFFREY A",56423,Aeronautics and Astronautics,Other,52,67,32,0,2,2984,0,0,male,100,19324,1,,,2660|,Electrical Engineering and Computer Sciences
114,2660,"HOFFMAN, JEFFREY A",56423,Aeronautics and Astronautics,Other,52,67,32,0,2,2984,0,0,male,100,19324,1,,,2660|,Health Sciences and Technology
115,2660,"HOFFMAN, JEFFREY A",56423,Aeronautics and Astronautics,Other,52,67,32,0,2,2984,0,0,male,100,19324,1,,,2660|,Management
116,2660,"HOFFMAN, JEFFREY A",56423,Aeronautics and Astronautics,Other,52,67,32,0,2,2984,0,0,male,100,19324,1,,,2660|,Mechanical Engineering
117,2660,"HOFFMAN, JEFFREY A",56423,Aeronautics and Astronautics,Other,52,67,32,0,2,2984,0,0,male,100,19324,1,,,2660|,Physics
118,2910,"HOW, JONATHAN P",48280,Aeronautics and Astronautics,Professor,160,268,58,0,5,7482,17,5,male,99,84386,1,,,2320|5470|4785|2885|16360|2885|2320|2880|4785|16360|,Aeronautics and Astronautics
119,2910,"HOW, JONATHAN P",48280,Aeronautics and Astronautics,Professor,160,268,58,0,5,7482,17,5,male,99,84386,1,,,4680|,Electrical Engineering and Computer Sciences
120,2910,"HOW, JONATHAN P",48280,Aeronautics and Astronautics,Professor,160,268,58,0,5,7482,17,5,male,99,84386,1,,,5470|4785|2040|16360|4785|16360|,Engineering System Divisions
121,2910,"HOW, JONATHAN P",48280,Aeronautics and Astronautics,Professor,160,268,58,0,5,7482,17,5,male,99,84386,1,,,4680|,Health Sciences and Technology
122,2910,"HOW, JONATHAN P",48280,Aeronautics and Astronautics,Professor,160,268,58,0,5,7482,17,5,male,99,84386,1,,,4680|,Management
123,2910,"HOW, JONATHAN P",48280,Aeronautics and Astronautics,Professor,160,268,58,0,5,7482,17,5,male,99,84386,1,,,4680|,Mechanical Engineering
124,2910,"HOW, JONATHAN P",48280,Aeronautics and Astronautics,Professor,160,268,58,0,5,7482,17,5,male,99,84386,1,,,4680|,Physics
125,4785,"KARAMAN, SERTAC",544435,Aeronautics and Astronautics,Associate,39,119,20,0,6,4143,6,11,male,96,1078,1,,,5470|16360|2910|2320|1195|2320|2880|16360|2910|,Aeronautics and Astronautics
126,4785,"KARAMAN, SERTAC",544435,Aeronautics and Astronautics,Associate,39,119,20,0,6,4143,6,11,male,96,1078,1,,,2205|,Electrical Engineering and Computer Sciences
127,4785,"KARAMAN, SERTAC",544435,Aeronautics and Astronautics,Associate,39,119,20,0,6,4143,6,11,male,96,1078,1,,,5470|16360|2910|16360|2910|,Engineering System Divisions
128,4785,"KARAMAN, SERTAC",544435,Aeronautics and Astronautics,Associate,39,119,20,0,6,4143,6,11,male,96,1078,1,,,2205|,Health Sciences and Technology
129,4785,"KARAMAN, SERTAC",544435,Aeronautics and Astronautics,Associate,39,119,20,0,6,4143,6,11,male,96,1078,1,,,2205|,Management
130,4785,"KARAMAN, SERTAC",544435,Aeronautics and Astronautics,Associate,39,119,20,0,6,4143,6,11,male,96,1078,1,,,2205|,Mechanical Engineering
131,4785,"KARAMAN, SERTAC",544435,Aeronautics and Astronautics,Associate,39,119,20,0,6,4143,6,11,male,96,1078,1,,,2205|,Physics
132,5860,"LEVESON, NANCY G",67304,Aeronautics and Astronautics,Professor,49,13,31,0,7,2494,16,0,female,98,35222,1,,,2660|2020|,Aeronautics and Astronautics
133,5860,"LEVESON, NANCY G",67304,Aeronautics and Astronautics,Professor,49,13,31,0,7,2494,16,0,female,98,35222,1,,,5860|,Electrical Engineering and Computer Sciences
134,5860,"LEVESON, NANCY G",67304,Aeronautics and Astronautics,Professor,49,13,31,0,7,2494,16,0,female,98,35222,1,,,5860|,Health Sciences and Technology
135,5860,"LEVESON, NANCY G",67304,Aeronautics and Astronautics,Professor,49,13,31,0,7,2494,16,0,female,98,35222,1,,,5860|,Management
136,5860,"LEVESON, NANCY G",67304,Aeronautics and Astronautics,Professor,49,13,31,0,7,2494,16,0,female,98,35222,1,,,5860|,Mechanical Engineering
137,5860,"LEVESON, NANCY G",67304,Aeronautics and Astronautics,Professor,49,13,31,0,7,2494,16,0,female,98,35222,1,,,5860|,Physics
138,9895,"LIEBECK, ROBERT H",488062,Aeronautics and Astronautics,Other,1,1,0,0,7,332,1,4,male,99,145540,1,,,9895|,Aeronautics and Astronautics
139,9895,"LIEBECK, ROBERT H",488062,Aeronautics and Astronautics,Other,1,1,0,0,7,332,1,4,male,99,145540,1,,,9895|,Electrical Engineering and Computer Sciences
140,9895,"LIEBECK, ROBERT H",488062,Aeronautics and Astronautics,Other,1,1,0,0,7,332,1,4,male,99,145540,1,,,9895|,Health Sciences and Technology
141,9895,"LIEBECK, ROBERT H",488062,Aeronautics and Astronautics,Other,1,1,0,0,7,332,1,4,male,99,145540,1,,,9895|,Management
142,9895,"LIEBECK, ROBERT H",488062,Aeronautics and Astronautics,Other,1,1,0,0,7,332,1,4,male,99,145540,1,,,9895|,Mechanical Engineering
143,9895,"LIEBECK, ROBERT H",488062,Aeronautics and Astronautics,Other,1,1,0,0,7,332,1,4,male,99,145540,1,,,9895|,Physics
144,19275,"LINARES, RICHARD",779767,Aeronautics and Astronautics,Assistant,30,31,9,0,3,223,12,1,male,99,97659,1,,,1195|5125|4365|4375|,Aeronautics and Astronautics
145,19275,"LINARES, RICHARD",779767,Aeronautics and Astronautics,Assistant,30,31,9,0,3,223,12,1,male,99,97659,1,,,19275|,Electrical Engineering and Computer Sciences
146,19275,"LINARES, RICHARD",779767,Aeronautics and Astronautics,Assistant,30,31,9,0,3,223,12,1,male,99,97659,1,,,19275|,Health Sciences and Technology
147,19275,"LINARES, RICHARD",779767,Aeronautics and Astronautics,Assistant,30,31,9,0,3,223,12,1,male,99,97659,1,,,19275|,Management
148,19275,"LINARES, RICHARD",779767,Aeronautics and Astronautics,Assistant,30,31,9,0,3,223,12,1,male,99,97659,1,,,19275|,Mechanical Engineering
149,19275,"LINARES, RICHARD",779767,Aeronautics and Astronautics,Assistant,30,31,9,0,3,223,12,1,male,99,97659,1,,,19275|,Physics
150,4375,"LOZANO, PAULO C",70895,Aeronautics and Astronautics,Professor,43,37,28,0,1,967,0,19,male,99,57206,1,,,4410|5105|16865|4035|4030|19275|,Aeronautics and Astronautics
151,4375,"LOZANO, PAULO C",70895,Aeronautics and Astronautics,Professor,43,37,28,0,1,967,0,19,male,99,57206,1,,,4375|,Electrical Engineering and Computer Sciences
152,4375,"LOZANO, PAULO C",70895,Aeronautics and Astronautics,Professor,43,37,28,0,1,967,0,19,male,99,57206,1,,,4375|,Health Sciences and Technology
153,4375,"LOZANO, PAULO C",70895,Aeronautics and Astronautics,Professor,43,37,28,0,1,967,0,19,male,99,57206,1,,,4375|,Management
154,4375,"LOZANO, PAULO C",70895,Aeronautics and Astronautics,Professor,43,37,28,0,1,967,0,19,male,99,57206,1,,,4375|,Mechanical Engineering
155,4375,"LOZANO, PAULO C",70895,Aeronautics and Astronautics,Professor,43,37,28,0,1,967,0,19,male,99,57206,1,,,4375|,Physics
156,24205,"LOZANO-DURAN, ADRIAN",1302272,Aeronautics and Astronautics,Assistant,28,22,1,0,0,929,0,0,male,98,56140,1,,,24205|,Aeronautics and Astronautics
157,24205,"LOZANO-DURAN, ADRIAN",1302272,Aeronautics and Astronautics,Assistant,28,22,1,0,0,929,0,0,male,98,56140,1,,,24205|,Electrical Engineering and Computer Sciences
158,24205,"LOZANO-DURAN, ADRIAN",1302272,Aeronautics and Astronautics,Assistant,28,22,1,0,0,929,0,0,male,98,56140,1,,,24205|,Health Sciences and Technology
159,24205,"LOZANO-DURAN, ADRIAN",1302272,Aeronautics and Astronautics,Assistant,28,22,1,0,0,929,0,0,male,98,56140,1,,,24205|,Management
160,24205,"LOZANO-DURAN, ADRIAN",1302272,Aeronautics and Astronautics,Assistant,28,22,1,0,0,929,0,0,male,98,56140,1,,,24205|,Mechanical Engineering
161,24205,"LOZANO-DURAN, ADRIAN",1302272,Aeronautics and Astronautics,Assistant,28,22,1,0,0,929,0,0,male,98,56140,1,,,24205|,Physics
162,1195,"MARZOUK, YOUSSEF M",288611,Aeronautics and Astronautics,Associate,72,28,25,0,3,1814,1,0,male,97,30051,1,,,4785|23790|5285|5285|5125|19275|4365|,Aeronautics and Astronautics
