Id,Name,PersonId,Department,RankName,TotalArticleCount,TotalConfProcCount,TotalGrantCount,TotalGrantDollars,TotalAwardCount,TotalCitationCount,TotalBookCount,TotalPatentCount,Gender,Accuracy_Gender,Total_Samples_Gender,Matched
19360,"CLIFFORD, BRANDON",827625,Architecture,Assistant,2,2,0,0.0,1,2,5,0,male,100,29118,0
4595,"DUTTA, ARINDAM",32435,Architecture,Associate,7,0,0,0.0,1,23,14,0,male,100,1597,0
4580,"FERNANDEZ, JOHN",32175,Architecture,Professor,22,5,2,0.0,0,568,2,0,male,99,218863,0
10025,"GARCIA-ABRIL RUIZ, ANTON",544446,Architecture,Professor,1,0,0,0.0,0,2,3,0,male,99,24300,0
14765,"GHOSN, RANIA",434049,Architecture,Associate,10,0,0,0.0,0,3,12,0,female,98,6286,0
5435,"GOULTHORPE, MARK",47078,Architecture,Associate,3,1,1,0.0,0,11,3,0,male,100,48064,0
9910,"GREEN, ELLEN RENEE",488066,Architecture,Professor,4,0,0,0.0,1,0,1,0,female,97,21763,0
15055,"HYDE, TIMOTHY W",390654,Architecture,Associate,11,0,0,0.0,3,3,3,0,male,99,15778,0
18680,"IBANEZ, MARIANA B",390655,Architecture,Associate,3,0,0,0.0,0,0,9,0,female,98,27420,0
10390,"JACOBI, LAUREN",627122,Architecture,Associate,2,0,0,0.0,2,0,5,0,female,97,25933,0
5790,"JARZOMBEK, MARK",54642,Architecture,Professor,29,0,0,0.0,3,27,22,0,male,100,48064,0
8110,"JONES, CAROLINE A",149233,Architecture,Professor,17,0,0,0.0,5,64,19,0,female,98,47275,0
9345,"KENNEDY, SHEILA",288291,Architecture,Professor,2,0,0,0.0,1,25,1,0,female,98,15031,0
6075,"KNIGHT, TERRY W",61508,Architecture,Professor,6,3,1,0.0,0,50,0,0,male,79,22131,0
10395,"MAZEREEUW, MIHO",627123,Architecture,Associate,6,0,4,0.0,0,6,0,0,female,88,583,0
8560,"MILJACKI, ANA",175841,Architecture,Associate,3,0,0,0.0,1,0,13,0,female,97,141747,0
14625,"MUELLER, CAITLIN T",779101,Architecture,Associate,42,10,0,0.0,0,290,3,1,female,99,5889,0
8280,"NAGAKURA, TAKEHIKO",157827,Architecture,Associate,4,4,0,0.0,0,8,0,0,male,100,68,0
4575,"NORFORD, LESLIE KEITH",86061,Architecture,Professor,126,24,7,0.0,0,3353,1,0,male,66,35929,0
9600,"O'BRIEN, WILLIAM GEORGE",412243,Architecture,Associate,40,1,0,0.0,2,476,0,0,male,99,131208,0
4285,"OCHSENDORF, JOHN A",87416,Architecture,Professor,40,12,1,0.0,5,792,10,0,male,99,218863,1
7005,"RABBAT, NASSER O",95304,Architecture,Professor,19,0,0,0.0,4,33,24,0,male,98,8903,0
8780,"REINHART, CHRISTOPH",544448,Architecture,Professor,58,3,3,0.0,1,2326,3,0,male,99,9324,0
4250,"SANTOS, ADELE NAUDE",102171,Architecture,Professor,3,0,0,0.0,3,99,0,0,female,95,4884,0
15010,"SARKIS, ANTOINE HASHIM",121466,Architecture,Professor,1,0,0,0.0,0,0,23,0,male,99,35586,0
6065,"SASS, LAWRENCE",164042,Architecture,Associate,15,11,0,0.0,0,201,1,0,male,98,9892,0
7565,"SCOTT, ANDREW M",122202,Architecture,Professor,12,0,0,0.0,0,268,2,0,male,99,82448,0
14925,"SEGAL, RAFAEL",779116,Architecture,Associate,7,0,0,0.0,0,1,12,0,male,99,52197,0
23630,"SIMMONS, MARC",919197,Architecture,Other,3,0,0,0.0,0,0,0,0,male,99,77461,0
23635,"SINNOKROT, NIDA",919198,Architecture,Assistant,0,0,0,0.0,0,0,0,0,female,93,2625,0
8640,"SMENTEK, KRISTEL R",176090,Architecture,Associate,9,0,0,0.0,2,0,7,0,female,98,1885,0
7615,"SPIRN, ANNE WHISTON",124250,Architecture,Professor,3,0,0,0.0,7,33,12,0,female,98,48860,0
6070,"STINY, GEORGE N",87327,Architecture,Professor,8,3,2,0.0,0,63,3,0,male,99,63411,0
18440,"TIBBITS, SKYLAR",827624,Architecture,Associate,30,2,3,0.0,4,571,22,7,male,89,6096,0
9440,"URBONAS, GEDIMINAS",289582,Architecture,Associate,1,0,1,0.0,1,0,4,0,male,100,416,0
4570,"WESCOAT, JAMES",176091,Architecture,Professor,32,1,1,0.0,2,347,19,0,male,99,131879,0
5670,"YOON, JEANNIE M",998930,Architecture,Professor,4,0,1,0.0,7,1,12,0,female,98,1682,0
3770,"ALM, ERIC J",176231,Biological Engineering,Professor,166,1,10,0.0,1,17395,0,0,male,99,121922,1
2390,"BATHE, MARK",287081,Biological Engineering,Associate,102,4,26,0.0,1,3081,0,5,male,100,48064,1
2290,"BELCHER, ANGELA M",7658,Biological Engineering,Professor,120,3,17,0.0,11,9377,1,24,female,98,69937,1
17500,"BIRNBAUM, MICHAEL E",827631,Biological Engineering,Assistant,30,0,5,0.0,4,1600,0,1,male,99,211492,1
2795,"BLAINEY, PAUL C",544450,Biological Engineering,Associate,68,0,0,0.0,6,3034,2,16,male,99,140849,1
2005,"BOYER, LAURIE ANN",175857,Biological Engineering,Associate,43,0,5,0.0,2,15667,0,0,female,96,34211,0
16365,"BRYSON, BRYAN DAVID",856140,Biological Engineering,Assistant,25,0,5,0.0,0,866,0,0,male,99,408797,0
1945,"BURGE, CHRISTOPHER B",135419,Biological Engineering,Professor,106,0,17,0.0,5,29847,2,2,male,99,55041,1
3530,"CHAKRABORTY, ARUP K",17819,Biological Engineering,Professor,182,2,19,0.0,13,9944,5,1,male,100,876,1
14685,"COLLINS, JAMES J",632090,Biological Engineering,Professor,274,3,21,0.0,22,35957,0,20,male,99,131879,1
4105,"DEDON, PETER C",25472,Biological Engineering,Professor,159,0,34,0.0,1,5854,2,1,male,99,146529,1
2430,"ENGELWARD, BEVIN P",141156,Biological Engineering,Professor,76,4,19,0.0,0,1957,1,7,male,55,152,1
7960,"ERDMAN, SUSAN E",287657,Biological Engineering,Other,63,0,14,0.0,0,2831,2,1,female,98,34211,1
4070,"ESSIGMANN, JOHN M",34955,Biological Engineering,Professor,73,1,40,0.0,1,2729,0,3,male,99,218863,0
4060,"FOX, JAMES G",142572,Biological Engineering,Professor,428,0,65,0.0,3,14515,44,3,male,99,131879,1
2275,"FRAENKEL, ERNEST",176239,Biological Engineering,Professor,91,8,12,0.0,2,7528,5,4,male,99,8319,1
1845,"GRIFFITH, LINDA G",144921,Biological Engineering,Professor,170,11,28,0.0,9,9085,3,30,female,97,68888,1
1855,"GRODZINSKY, ALAN J",144993,Biological Engineering,Professor,203,3,25,0.0,3,7350,17,5,male,99,44635,1
3360,"HAN, JONGYOON",50517,Biological Engineering,Professor,269,10,16,0.0,1,13795,4,26,male,100,16,1
24010,"HANSEN, ANDERS SEJR",1107892,Biological Engineering,Assistant,30,0,5,0.0,1,1341,0,0,male,99,9664,0
3525,"IRVINE, DARRELL J",60069,Biological Engineering,Professor,221,7,41,0.0,12,13568,2,28,male,99,2940,1
1865,"JASANOFF, ALAN PRADIP",61378,Biological Engineering,Professor,59,0,20,0.0,2,2327,3,3,male,99,47028,0
5805,"KEATING, AMY E",150013,Biological Engineering,Professor,72,0,12,0.0,1,2929,3,2,female,98,42632,1
14595,"KOEHLER, ANGELA NICOLE",779088,Biological Engineering,Associate,50,0,4,0.0,3,2393,3,9,female,98,135236,1
1830,"LANGER, ROBERT S",83112,Biological Engineering,Professor,975,26,92,0.0,72,107826,62,258,male,99,145540,1
2245,"LAUFFENBURGER, DOUGLAS A",58851,Biological Engineering,Professor,349,19,75,0.0,10,16322,8,8,male,99,18529,1
1970,"LODISH, HARVEY F",62796,Biological Engineering,Professor,186,1,0,0.0,9,15342,15,6,male,99,4450,1
5590,"LU, TIMOTHY K",412262,Biological Engineering,Associate,131,9,31,0.0,10,7114,3,32,male,99,15778,1
2220,"MANALIS, SCOTT R",176243,Biological Engineering,Professor,81,12,24,0.0,3,4893,1,15,male,100,48262,1
4930,"NILES, JACQUIN",85013,Biological Engineering,Professor,39,1,6,0.0,3,1333,0,1,female,57,46,1
3835,"RIBBECK, KATHARINA",412244,Biological Engineering,Associate,57,1,7,0.0,1,1977,0,3,female,98,5457,0
3350,"SAMSON, LEONA D",82231,Biological Engineering,Other,110,0,24,0.0,7,5086,3,1,female,97,3219,1
5945,"SASISEKHARAN, RAM",176254,Biological Engineering,Professor,114,0,29,0.0,5,7584,12,65,male,97,12263,1
1835,"SO, PETER T. C",14958,Biological Engineering,Professor,194,82,12,0.0,2,5105,26,10,male,99,146529,1
4425,"THILLY, WILLIAM G",126070,Biological Engineering,Professor,34,0,18,0.0,0,641,0,10,male,99,67797,1
1905,"TIDOR, BRUCE",169050,Biological Engineering,Professor,79,4,28,0.0,2,7878,2,3,male,99,14681,1
1605,"VAN VLIET, KRYSTYN J",127288,Biological Engineering,Professor,176,6,10,0.0,6,7180,4,7,male,73,9957,1
2270,"VOIGT, CHRISTOPHER A",488068,Biological Engineering,Professor,232,1,36,0.0,7,10023,4,6,male,99,55041,0
2265,"WEISS, RON",370154,Biological Engineering,Professor,130,23,39,0.0,4,12102,0,11,male,99,19779,1
5055,"WHITE, FOREST M",129009,Biological Engineering,Professor,117,2,22,0.0,0,6163,6,2,male,100,92,1
1895,"WITTRUP, KARL DANE",115935,Biological Engineering,Professor,154,2,29,0.0,4,6672,2,15,male,97,21130,1
5060,"YAFFE, MICHAEL B",99938,Biological Engineering,Professor,249,5,25,0.0,1,15202,13,6,male,99,211492,1
3185,"AMON, ANGELIKA B",131275,Biology,Professor,127,3,12,0.0,15,11246,2,0,female,98,9509,1
1940,"BAKER, TANIA",6476,Biology,Professor,125,1,8,0.0,6,5864,4,0,female,98,26196,1
2015,"BARTEL, DAVID",6522,Biology,Professor,130,1,0,0.0,10,94190,0,11,male,99,380894,1
1935,"BELL, STEPHEN P",176229,Biology,Professor,75,0,14,0.0,6,4339,4,0,male,99,46085,1
15260,"CALO VELAZQUEZ, ELIEZER",827665,Biology,Assistant,14,0,0,0.0,1,1715,0,0,male,98,2953,1
8370,"CHEESEMAN, IAIN M",175855,Biology,Professor,83,0,0,0.0,6,6893,3,0,male,99,2910,1
5065,"CHEN, JIANZHU",176227,Biology,Professor,227,2,21,0.0,2,7863,2,0,unknown,0,0,1
3830,"CHISHOLM, SALLIE W",20948,Biology,Professor,97,0,20,0.0,14,10560,5,0,female,96,341,1
15510,"DAVIS, JOSEPH HARRY",827666,Biology,Assistant,19,0,2,0.0,3,1047,0,0,male,99,87634,1
4920,"DRENNAN, CATHERINE L",175862,Biology,Professor,157,3,8,0.0,12,4591,4,0,female,98,41180,1
1995,"FINK, GERALD R",142051,Biology,Other,82,1,0,0.0,11,8853,9,4,male,99,11899,1
9605,"GEHRING, MARY",412245,Biology,Associate,36,0,0,0.0,3,3015,1,0,female,98,76726,1
2780,"GERTLER, FRANK",38616,Biology,Professor,134,4,8,0.0,3,7622,3,10,male,99,66241,1
7780,"GROSSMAN, ALAN DAVIS",176390,Biology,Professor,68,0,18,0.0,5,3882,2,0,male,99,50898,1
5445,"GUARENTE, LEONARD PERSHING",48651,Biology,Professor,148,2,16,0.0,4,25897,8,6,male,98,7085,1
3085,"GUPTA, PIYUSH",412246,Biology,Associate,72,1,0,0.0,2,10820,29,0,male,100,6513,1
2010,"HEMANN, MICHAEL",46757,Biology,Associate,130,3,5,0.0,2,8081,2,2,male,99,211492,1
1960,"HORVITZ, HOWARD ROBERT",48052,Biology,Professor,92,0,9,0.0,16,13548,2,12,male,99,150536,1
5305,"HOUSMAN, DAVID E",48264,Biology,Professor,85,0,23,0.0,5,5162,5,12,male,99,380894,1
2410,"HYNES, RICHARD O",52479,Biology,Professor,144,2,28,0.0,14,12363,3,4,male,99,97659,1
5940,"IMPERIALI, BARBARA",176237,Biology,Professor,135,0,37,0.0,8,4830,4,11,female,98,58381,1
2425,"JACKS, TYLER E",50211,Biology,Professor,242,11,53,0.0,13,33912,6,6,male,97,19321,1
1965,"JAENISCH, RUDOLF",288069,Biology,Professor,307,2,0,0.0,18,69354,16,14,male,99,5465,1
18900,"JAIN, ANKUR",856128,Biology,Assistant,28,1,0,0.0,2,1339,0,0,male,99,6932,1
5890,"KAISER, CHRIS",56932,Biology,Professor,25,0,8,0.0,2,3588,8,0,male,93,163699,1
2500,"KIM, DENNIS H",54419,Biology,Professor,260,0,5,0.0,3,7989,6,0,male,99,44146,1
3295,"KING, JONATHAN ALAN",176485,Biology,Other,155,3,18,0.0,1,3840,0,0,male,99,129021,1
5465,"KRIEGER, MONTY",56559,Biology,Professor,57,1,10,0.0,1,3024,7,6,male,93,1733,1
19445,"LAMASON, REBECCA",827662,Biology,Assistant,11,0,1,0.0,1,920,1,0,female,99,35211,1
2420,"LANDER, ERIC S",152018,Biology,Professor,388,4,14,0.0,30,210707,7,10,male,99,121922,1
1925,"LAUB, MICHAEL T",83316,Biology,Professor,87,0,7,0.0,6,5240,6,0,male,99,211492,1
5415,"LEES, JACQUELINE",59618,Biology,Professor,67,1,6,0.0,2,2902,2,0,female,98,23327,1
23855,"LEHMANN, RUTH E",66756,Biology,Professor,91,0,0,0.0,10,3755,8,0,female,98,20411,1
15090,"LI, GENE-WEI",789731,Biology,Assistant,37,1,3,0.0,8,6052,1,0,male,73,4003,1
22650,"LI, PULIN",1108327,Biology,Assistant,36,1,0,0.0,1,1340,0,0,male,100,71,1
6465,"LITTLETON, J TROY",288487,Biology,Professor,77,0,19,0.0,4,3651,1,0,male,99,7393,0
19345,"LOURIDO, SEBASTIAN",826660,Biology,Assistant,35,0,0,0.0,2,1857,2,0,male,99,47850,1
9920,"MARTIN, ADAM C",488069,Biology,Associate,52,0,4,0.0,2,2954,0,0,male,99,101742,1
3335,"NEDIVI, ELLY",158035,Biology,Professor,37,4,13,0.0,3,1833,1,1,female,84,3622,1
1990,"ORR-WEAVER, TERRY",74328,Biology,Professor,64,0,0,0.0,6,3126,2,0,male,79,22131,1
5455,"PAGE, DAVID C",74957,Biology,Professor,111,1,0,0.0,13,6708,1,3,male,99,380894,1
4065,"RAJBHANDARY, UTTAM L",176256,Biology,Professor,35,0,11,0.0,2,1165,1,1,male,99,1667,0
5450,"REDDIEN, PETER",161933,Biology,Professor,57,0,0,0.0,8,5111,1,0,male,99,146529,1
5575,"REGEV, AVIV",176255,Biology,Professor,379,26,5,0.0,16,73341,9,7,male,92,390,1
3175,"SABATINI, DAVID",289215,Biology,Professor,237,10,2,0.0,11,65283,10,6,male,99,380894,0
1920,"SAUER, ROBERT T",164073,Biology,Professor,147,1,13,0.0,5,7205,1,0,male,99,145540,1
7715,"SCHWARTZ, THOMAS",164713,Biology,Professor,61,0,9,0.0,1,3111,0,1,male,99,129177,1
1975,"SHARP, PHILLIP A",122664,Biology,Professor,160,7,21,0.0,21,27671,3,20,male,99,9441,1
2630,"SINSKEY, ANTHONY J",85646,Biology,Professor,107,4,9,0.0,2,3599,3,35,male,99,85303,1
1955,"SIVE, HAZEL L",176497,Biology,Professor,86,0,1,0.0,1,2719,5,0,female,99,15044,1
7610,"SOLOMON, FRANK",123978,Biology,Professor,2,0,6,0.0,0,18,0,0,male,99,66241,1
17495,"SPRANGER-ZIMMERMANN, STEFANI",827663,Biology,Assistant,82,2,1,0.0,4,5889,1,0,female,98,4880,0
7620,"STEINER, LISA A",124603,Biology,Professor,18,1,3,0.0,1,832,2,0,female,98,75562,1
7675,"TONEGAWA, SUSUMU",169218,Biology,Professor,108,2,23,0.0,8,10209,2,7,male,98,170,1
5485,"VANDER HEIDEN, MATTHEW G",412247,Biology,Associate,215,9,11,0.0,6,30707,3,2,male,100,51898,1
23610,"VOS, SEYCHELLE",1108330,Biology,Assistant,18,0,0,0.0,1,824,0,0,female,94,16,1
23655,"WALKER, BRUCE",112395,Biology,Other,544,0,0,0.0,10,34604,12,1,male,99,14681,1
4925,"WALKER, GRAHAM C",176500,Biology,Professor,234,5,20,0.0,10,7517,1,1,male,99,10110,0
4075,"WEINBERG, ROBERT A",94944,Biology,Professor,179,13,0,0.0,32,79410,4,15,male,99,145540,1
23965,"WEISSMAN, JONATHAN",315469,Biology,Professor,244,4,0,0.0,17,46109,5,0,male,99,84386,1
14950,"WENG, JING-KE",779132,Biology,Associate,73,1,0,0.0,9,2943,0,0,male,75,808,1
2840,"WILSON, MATTHEW A",129535,Biology,Professor,88,9,16,0.0,7,7061,0,1,male,100,51412,1
23890,"YAMASHITA, YUKIKO",116733,Biology,Professor,114,0,0,0.0,5,3927,5,0,female,98,405,1
14590,"YILMAZ, OMER H",779139,Biology,Associate,90,1,14,0.0,3,6489,1,2,male,97,10038,1
1980,"YOUNG, RICHARD A",100462,Biology,Professor,261,8,0,0.0,6,47907,0,7,male,99,97659,1
1065,"ADELSON, EDWARD H",718,Brain and Cognitive Sciences,Professor,60,46,15,0.0,10,2923,2,6,male,99,24073,1
1795,"ANIKEEVA, POLINA OLEGOVNA",488093,Brain and Cognitive Sciences,Associate,77,8,14,0.0,6,4490,0,8,female,97,2522,1
2785,"BEAR, MARK",176351,Brain and Cognitive Sciences,Professor,105,0,20,0.0,10,12518,18,4,male,100,48064,1
2870,"BOYDEN, EDWARD",12578,Brain and Cognitive Sciences,Professor,200,11,54,0.0,21,17190,10,36,male,99,24073,1
2845,"BROWN, EMERY NEAL",176268,Brain and Cognitive Sciences,Professor,246,92,5,0.0,13,11883,7,8,male,98,6677,0
10400,"CHOI, BOHYUN GLORIA",627124,Brain and Cognitive Sciences,Assistant,13,0,3,0.0,3,1294,0,2,female,98,20821,1
2860,"CHUNG, KWANGHUN",627127,Brain and Cognitive Sciences,Associate,43,12,5,0.0,7,3101,0,3,male,100,10,1
2815,"DESIMONE, ROBERT",176355,Brain and Cognitive Sciences,Professor,79,3,10,0.0,7,6323,0,0,male,99,145540,1
2775,"DICARLO, JAMES",176354,Brain and Cognitive Sciences,Professor,65,11,14,0.0,3,5462,4,1,male,99,131879,1
23775,"FEDORENKO, EVELINA G",816039,Brain and Cognitive Sciences,Assistant,88,2,5,0.0,3,3600,3,0,female,98,2102,1
7550,"FEE, MICHALE SEAN",176353,Brain and Cognitive Sciences,Professor,45,1,6,0.0,1,3007,1,1,male,99,37201,1
2825,"FENG, GUOPING",412326,Brain and Cognitive Sciences,Professor,155,2,12,0.0,9,10967,6,1,male,73,22,1
16130,"FIETE, ILA",34519,Brain and Cognitive Sciences,Associate,32,1,2,0.0,6,1607,1,0,female,80,1346,1
15645,"FLAVELL, STEVEN WILLEM",827627,Brain and Cognitive Sciences,Assistant,20,0,3,0.0,4,2795,0,0,male,99,64870,1
5895,"GABRIELI, JOHN D. E",140613,Brain and Cognitive Sciences,Professor,255,1,36,0.0,9,18915,8,0,male,99,218863,1
23875,"GHOSH, SATRAJIT S",787699,Brain and Cognitive Sciences,Other,90,8,10,0.0,0,5188,1,2,male,100,35,1
4980,"GIBSON, EDWARD A",35292,Brain and Cognitive Sciences,Professor,101,7,8,0.0,1,3171,7,0,male,99,24073,1
2770,"GRAYBIEL, ANN M",176361,Brain and Cognitive Sciences,Professor,120,3,36,0.0,12,8157,16,1,female,97,23825,1
19205,"HALASSA, MICHAEL M",746589,Brain and Cognitive Sciences,Assistant,50,1,2,0.0,7,3881,6,0,male,99,211492,1
15095,"HARNETT, MARK THOMAS",789732,Brain and Cognitive Sciences,Assistant,21,0,3,0.0,3,1476,0,0,male,99,177241,1
9925,"HEIMAN, MYRIAM",488070,Brain and Cognitive Sciences,Associate,33,0,0,0.0,1,2946,1,1,female,98,15574,1
